,Country,Date,SNo,Confirmed,Deaths,Recovered
415,Azerbaijan,04/05/2020,11940,584.0,7.0,32.0
1218,Congo (Brazzaville),04/05/2020,11966,45.0,5.0,2.0
4707,Qatar,04/05/2020,12063,1604.0,4.0,123.0
430,Bahamas,04/05/2020,11941,28.0,4.0,0.0
4137,New Zealand,04/05/2020,12048,1039.0,1.0,156.0
1617,Egypt,04/05/2020,11979,1173.0,78.0,247.0
3080,Kosovo,04/05/2020,12018,145.0,1.0,23.0
2844,Italy,04/05/2020,12011,128948.0,15887.0,21815.0
2871,Ivory Coast,04/05/2020,12012,261.0,3.0,37.0
690,Bhutan,04/05/2020,11949,5.0,0.0,2.0
2288,Guyana,04/05/2020,11999,24.0,4.0,0.0
1528,Dominican Republic,04/05/2020,11977,1745.0,82.0,17.0
147,Andorra,04/05/2020,11934,501.0,18.0,26.0
2251,Guinea,04/05/2020,11997,121.0,0.0,5.0
1977,Gambia,04/05/2020,11990,4.0,1.0,2.0
3670,Mali,04/05/2020,12034,45.0,5.0,1.0
2733,Ireland,04/05/2020,12009,4994.0,158.0,25.0
5856,Timor-Leste,04/05/2020,12093,1.0,0.0,0.0
659,Benin,04/05/2020,11948,22.0,0.0,5.0
1477,Djibouti,04/05/2020,11975,59.0,0.0,9.0
4333,Oman,04/05/2020,12054,298.0,2.0,61.0
3268,Libya,04/05/2020,12025,18.0,1.0,0.0
2305,Haiti,04/05/2020,12000,21.0,1.0,1.0
1244,Congo (Kinshasa),04/05/2020,11967,154.0,18.0,3.0
2778,Israel,04/05/2020,12010,8430.0,49.0,477.0
3301,Liechtenstein,04/05/2020,12026,77.0,1.0,0.0
1196,Colombia,04/05/2020,11965,1485.0,35.0,88.0
6300,Venezuela,04/05/2020,12104,159.0,7.0,52.0
4854,Rwanda,04/05/2020,12066,104.0,0.0,4.0
5755,Tanzania,04/05/2020,12091,22.0,1.0,3.0
1164,Chile,04/05/2020,11964,4471.0,34.0,618.0
2021,Georgia,04/05/2020,11991,174.0,2.0,36.0
755,Botswana,04/05/2020,11952,6.0,1.0,0.0
504,Bangladesh,04/05/2020,11943,88.0,9.0,33.0
748,Bosnia and Herzegovina,04/05/2020,11951,654.0,23.0,30.0
112,Algeria,04/05/2020,11933,1320.0,152.0,90.0
6251,Uruguay,04/05/2020,12102,400.0,5.0,93.0
5354,South Sudan,04/05/2020,12082,1.0,0.0,0.0
5353,South Korea,04/05/2020,12081,10237.0,183.0,6463.0
1759,Ethiopia,04/05/2020,11985,43.0,2.0,4.0
4958,San Marino,04/05/2020,12070,266.0,32.0,35.0
3868,Monaco,04/05/2020,12040,73.0,1.0,3.0
2263,Guinea-Bissau,04/05/2020,11998,18.0,0.0,0.0
258,Armenia,04/05/2020,11938,822.0,7.0,57.0
5830,Thailand,04/05/2020,12092,2169.0,23.0,793.0
3189,Latvia,04/05/2020,12022,533.0,1.0,1.0
1407,Czech Republic,04/05/2020,11972,4587.0,67.0,96.0
3255,Liberia,04/05/2020,12024,13.0,3.0,3.0
716,Bolivia,04/05/2020,11950,157.0,10.0,2.0
5278,South Africa,04/05/2020,12080,1655.0,11.0,95.0
5969,Turkey,04/05/2020,12097,27069.0,574.0,1042.0
638,Belize,04/05/2020,11947,5.0,0.0,0.0
5910,Trinidad and Tobago,04/05/2020,12095,104.0,7.0,1.0
2571,India,04/05/2020,12005,3588.0,99.0,229.0
5059,Serbia,04/05/2020,12073,1908.0,51.0,0.0
2972,Japan,04/05/2020,12014,3139.0,77.0,514.0
562,Belarus,04/05/2020,11945,562.0,8.0,52.0
4919,Saint Vincent and the Grenadines,04/05/2020,12069,7.0,0.0,1.0
1565,Ecuador,04/05/2020,11978,3646.0,180.0,100.0
4765,Romania,04/05/2020,12064,3864.0,151.0,374.0
6273,Uzbekistan,04/05/2020,12103,342.0,2.0,30.0
4451,Panama,04/05/2020,12056,1801.0,46.0,13.0
3629,Malaysia,04/05/2020,12032,3662.0,61.0,1005.0
5537,Suriname,04/05/2020,12086,10.0,1.0,0.0
5225,Slovenia,04/05/2020,12078,997.0,28.0,79.0
1316,Croatia,04/05/2020,11969,1182.0,15.0,125.0
4419,Pakistan,04/05/2020,12055,3157.0,47.0,211.0
1341,Cuba,04/05/2020,11970,320.0,8.0,15.0
1925,France,04/05/2020,133835,93773.0,8093.0,16349.0
4172,Niger,04/05/2020,12050,184.0,10.0,13.0
222,Argentina,04/05/2020,11937,1451.0,44.0,280.0
5943,Tunisia,04/05/2020,12096,574.0,22.0,5.0
3556,Malawi,04/05/2020,12031,4.0,0.0,0.0
1784,Fiji,04/05/2020,11986,12.0,0.0,0.0
3477,Madagascar,04/05/2020,12030,72.0,0.0,2.0
3122,Kuwait,04/05/2020,12019,556.0,1.0,99.0
3552,Mainland China,04/05/2020,377586,81668.0,3329.0,76991.0
2358,Honduras,04/05/2020,12002,268.0,22.0,6.0
164,Angola,04/05/2020,11935,14.0,2.0,2.0
5082,Seychelles,04/05/2020,12074,10.0,0.0,0.0
1962,Gabon,04/05/2020,11989,21.0,1.0,1.0
624,Belgium,04/05/2020,11946,19691.0,1447.0,3751.0
5193,Slovakia,04/05/2020,12077,485.0,1.0,10.0
4155,Nicaragua,04/05/2020,12049,6.0,1.0,0.0
4831,Russia,04/05/2020,12065,5389.0,45.0,355.0
2332,Holy See,04/05/2020,12001,7.0,0.0,0.0
2433,Hong Kong,04/05/2020,12157,890.0,4.0,206.0
2606,Indonesia,04/05/2020,12006,2273.0,198.0,164.0
4468,Papua New Guinea,04/05/2020,12057,1.0,0.0,0.0
3738,Mauritania,04/05/2020,12036,6.0,1.0,2.0
5028,Senegal,04/05/2020,12072,222.0,2.0,82.0
3658,Maldives,04/05/2020,12033,19.0,0.0,13.0
1275,Costa Rica,04/05/2020,11968,454.0,2.0,16.0
3802,Mexico,04/05/2020,12038,1890.0,79.0,633.0
475,Bahrain,04/05/2020,11942,700.0,4.0,431.0
5887,Togo,04/05/2020,12094,44.0,3.0,20.0
5246,Somalia,04/05/2020,12079,7.0,0.0,1.0
1371,Cyprus,04/05/2020,11971,446.0,9.0,37.0
188,Antigua and Barbuda,04/05/2020,11936,15.0,0.0,0.0
5162,Singapore,04/05/2020,12076,1309.0,6.0,320.0
524,Barbados,04/05/2020,11944,56.0,1.0,6.0
2653,Iran,04/05/2020,12007,58226.0,3603.0,19736.0
5644,Switzerland,04/05/2020,12088,21100.0,715.0,6415.0
2090,Germany,04/05/2020,11992,100123.0,1584.0,28700.0
5489,Sri Lanka,04/05/2020,12084,176.0,5.0,33.0
6126,Uganda,04/05/2020,12099,52.0,0.0,0.0
4993,Saudi Arabia,04/05/2020,12071,2402.0,34.0,488.0
5659,Syria,04/05/2020,12089,19.0,2.0,2.0
4896,Saint Lucia,04/05/2020,12068,14.0,0.0,1.0
1673,Eritrea,04/05/2020,11982,29.0,0.0,0.0
2181,Grenada,04/05/2020,11995,12.0,0.0,0.0
913,Cabo Verde,04/05/2020,11959,7.0,1.0,0.0
1446,Denmark,04/05/2020,36255,4561.0,179.0,1429.0
5088,Sierra Leone,04/05/2020,12075,6.0,0.0,0.0
43,Afghanistan,04/05/2020,11931,349.0,7.0,15.0
896,Burundi,04/05/2020,11958,3.0,0.0,0.0
